PLAYER,CHAMPION,POSITION
Ryver,Jax,Top
Ryver,Nasus,Top
Ryver,Kha'Zix,Jungle
Ryver,Evelynn,Jungle
Ryver,Lee Sin,Jungle
Ryver,Jax,Jungle
Ryver,Sejuani,Jungle
Ryver,Master Yi,Jungle
Ryver,Jarvan IV,Jungle
Ryver,Kayn,Jungle
Ryver,Hecarim,Jungle
Ryver,Elise,Jungle
Ryver,Rek'Sai,Jungle
Ryver,Nunu,Jungle
Ryver,Warwick,Jungle
Ryver,Vi,Jungle
Ryver,Amumu,Jungle
Ryver,Graves,Jungle
Ryver,Taliyah,Jungle
Ryver,Ahri,Mid
Ryver,Twisted Fate,Mid
Ryver,Ezreal,Bot
Ryver,Xayah,Bot
Ryver,Vayne,Bot
Ryver,Jinx,Bot
Ryver,Ashe,Bot
Ryver,Tristana,Bot
Ryver,Morgana,Sup
Ryver,Leona,Sup
Ryver,Thresh,Sup
