PLAYER,CHAMPION,POSITION
Thoklarr,Heimerdinger,Top
Thoklarr,Teemo,Top
Thoklarr,Cho'Gath,Top
Thoklarr,Ivern,Jungle
Thoklarr,Trundle,Jungle
Thoklarr,Heimerdinger,Mid
Thoklarr,Veigar,Mid
Thoklarr,Seraphine,Mid
Thoklarr,Neeko,Mid
Thoklarr,Jhin,Bot
Thoklarr,Miss Fortune,Bot
Thoklarr,Jinx,Bot
Thoklarr,Kog'Maw,Bot
Thoklarr,Twitch,Bot
Thoklarr,Caitlyn,Bot
Thoklarr,Sivir,Bot
Thoklarr,Sona,Sup
Thoklarr,Seraphine,Sup
Thoklarr,Leona,Sup
Thoklarr,Blitzcrank,Sup
Thoklarr,Nami,Sup
Thoklarr,Soraka,Sup
Thoklarr,Lulu,Sup
Thoklarr,Lux,Sup
Thoklarr,Karma,Sup
