PLAYER,CHAMPION,POSITION
Trothious,Volibear,Top
Trothious,Ornn,Top
Trothious,Garen,Top
Trothious,Sion,Top
Trothious,Dr. Mundo,Top
Trothious,Volibear,Jungle
Trothious,Xin Zhao,Jungle
Trothious,Galio,Mid
Trothious,Veigar,Mid
Trothious,Ahri,Mid
Trothious,Lucian,Mid
Trothious,Neeko,Mid
Trothious,Akali,Mid
Trothious,Twisted Fate,Mid
Trothious,Miss Fortune,Bot
Trothious,Xayah,Bot
Trothious,Senna,Bot
Trothious,Lucian,Bot
Trothious,Ezreal,Bot
Trothious,Jinx,Bot
Trothious,Caitlyn,Bot
Trothious,Ashe,Bot
Trothious,Blitzcrank,Sup
Trothious,Galio,Sup
Trothious,Senna,Sup
Trothious,Leona,Sup
Trothious,Morgana,Sup
Trothious,Pantheon,Sup
Trothious,Seraphine,Sup
Trothious,Lux,Sup
Trothious,Thresh,Sup
